year_end,tract_2010,parcels,city_owned
1990,55079000101,631,0
1990,55079000102,924,0
1990,55079000201,865,0
1990,55079000202,1077,0
1990,55079000301,621,0
1990,55079000302,365,0
1990,55079000303,434,0
1990,55079000304,982,0
1990,55079000400,372,0
1990,55079000501,733,0
1990,55079000502,457,0
1990,55079000600,1452,2
1990,55079000700,1003,1
1990,55079000800,1183,0
1990,55079000900,657,0
1990,55079001000,990,2
1990,55079001100,517,1
1990,55079001200,471,0
1990,55079001300,909,2
1990,55079001400,329,1
1990,55079001500,604,2
1990,55079001600,607,0
1990,55079001700,958,2
1990,55079001800,580,0
1990,55079001900,845,0
1990,55079002000,715,0
1990,55079002100,574,0
1990,55079002200,575,0
1990,55079002300,1133,0
1990,55079002400,541,1
1990,55079002500,558,0
1990,55079002600,841,2
1990,55079002700,625,0
1990,55079002800,578,0
1990,55079002900,665,1
1990,55079003000,1196,1
1990,55079003100,1057,1
1990,55079003200,849,1
1990,55079003300,1143,0
1990,55079003400,1426,0
1990,55079003500,1047,0
1990,55079003600,544,0
1990,55079003700,777,1
1990,55079003800,675,0
1990,55079003900,782,0
1990,55079004000,544,0
1990,55079004100,808,0
1990,55079004200,694,0
1990,55079004300,1472,2
1990,55079004400,483,2
1990,55079004500,659,2
1990,55079004600,770,3
1990,55079004700,1093,4
1990,55079004800,1010,3
1990,55079004900,1202,0
1990,55079005000,1374,2
1990,55079005100,729,1
1990,55079005200,572,1
1990,55079005300,708,0
1990,55079005400,1372,0
1990,55079005500,1207,0
1990,55079005600,778,0
1990,55079005700,857,0
1990,55079005800,969,1
1990,55079005900,918,2
1990,55079006000,521,0
1990,55079006100,571,0
1990,55079006200,609,3
1990,55079006300,671,4
1990,55079006400,700,6
1990,55079006500,695,11
1990,55079006600,910,7
1990,55079006700,384,4
1990,55079006800,720,5
1990,55079006900,593,2
1990,55079007000,659,0
1990,55079007100,481,2
1990,55079007200,780,0
1990,55079007300,544,0
1990,55079007400,421,1
1990,55079007500,722,0
1990,55079007600,359,0
1990,55079007700,486,0
1990,55079007800,550,0
1990,55079007900,390,0
1990,55079008000,427,0
1990,55079008100,317,1
1990,55079008400,390,7
1990,55079008500,335,2
1990,55079008600,414,3
1990,55079008700,431,1
1990,55079008800,532,3
1990,55079008900,423,2
1990,55079009000,558,12
1990,55079009100,567,4
1990,55079009200,372,2
1990,55079009300,726,0
1990,55079009400,750,0
1990,55079009500,625,0
1990,55079009600,562,4
1990,55079009700,385,7
1990,55079009800,371,2
1990,55079009900,446,3
1990,55079010600,283,1
1990,55079010700,414,0
1990,55079010800,242,0
1990,55079011000,330,0
1990,55079011100,116,0
1990,55079011200,298,0
1990,55079011300,121,0
1990,55079011400,92,0
1990,55079012200,472,3
1990,55079012300,191,0
1990,55079012400,634,1
1990,55079012500,573,2
1990,55079012600,700,0
1990,55079012700,423,0
1990,55079012800,625,0
1990,55079012900,909,0
1990,55079013000,493,0
1990,55079013300,299,0
1990,55079013400,364,5
1990,55079013500,52,0
1990,55079013600,164,1
1990,55079013700,123,2
1990,55079014300,230,0
1990,55079014400,21,0
1990,55079014600,91,7
1990,55079014700,73,10
1990,55079014800,84,0
1990,55079014900,123,0
1990,55079015700,497,0
1990,55079015800,410,3
1990,55079015900,502,0
1990,55079016000,499,0
1990,55079016100,616,1
1990,55079016200,537,0
1990,55079016300,794,3
1990,55079016400,688,2
1990,55079016500,441,0
1990,55079016600,328,3
1990,55079016700,453,0
1990,55079016800,497,1
1990,55079016900,636,0
1990,55079017000,965,1
1990,55079017100,483,0
1990,55079017200,470,2
1990,55079017300,675,1
1990,55079017400,420,0
1990,55079017500,617,2
1990,55079017600,435,0
1990,55079017900,683,0
1990,55079018000,654,1
1990,55079018100,708,0
1990,55079018200,535,0
1990,55079018300,642,0
1990,55079018400,441,0
1990,55079018500,603,0
1990,55079018600,463,1
1990,55079018700,544,1
1990,55079018800,345,1
1990,55079018900,367,0
1990,55079019000,1352,0
1990,55079019100,613,0
1990,55079019200,1146,0
1990,55079019300,970,1
1990,55079019400,800,0
1990,55079019500,1002,0
1990,55079019600,999,0
1990,55079019700,1324,0
1990,55079019800,1594,0
1990,55079019900,994,0
1990,55079020000,635,0
1990,55079020100,710,0
1990,55079020200,954,0
1990,55079020300,1123,0
1990,55079020400,626,0
1990,55079020500,644,0
1990,55079020600,1245,0
1990,55079020700,1402,0
1990,55079020800,1044,0
1990,55079020900,820,0
1990,55079021000,779,0
1990,55079021100,520,0
1990,55079021200,469,0
1990,55079021300,303,0
1990,55079021400,410,0
1990,55079021500,879,0
1990,55079021600,1220,0
1990,55079021700,1854,0
1990,55079021800,468,0
1990,55079060200,19,0
1990,55079080400,2,0
1990,55079090200,12,0
1990,55079091000,23,0
1990,55079091300,9,0
1990,55079091400,7,0
1990,55079101600,10,0
1990,55079110100,23,0
1990,55079120300,12,0
1990,55079120400,33,0
1990,55079120502,10,0
1990,55079185100,8,0
1990,55079185200,22,0
1990,55079185400,468,5
1990,55079185500,372,4
1990,55079185600,368,2
1990,55079185700,510,5
1990,55079185800,362,2
1990,55079185900,232,3
1990,55079186000,81,0
1990,55079186100,287,1
1990,55079186200,217,2
1990,55079186400,5,0
1990,55079186500,330,1
1990,55079186600,406,0
